tip_id,created_at,text,venue_id,venue_lat,venue_lon,venue_name,venue_category
4ca60187931bb60c9c038fe2,1285947783,Free wifi,4b6ad2f8f964a52010e22be3,46.035512,14.50939197,Gostilna Livada,Diner
4d05f7bc28926ea84d2573c2,1292236732,Free WiFi.,4b7535caf964a52027012ee3,46.07312841048939,14.486373063332266,En Pub,Pub
4d0756c62f96f04d61322c54,1292326598,Free WiFi.,4b79983bf964a52021042fe3,46.08763840309816,14.474916458129883,Restavracija Angel,Pizza Place
4d678f49709bb60c00eeaa14,1298632521,Free wifi!,4b891af0f964a520f81c32e3,46.05182038984299,14.45324420928955,Polna skleda,Fast Food Restaurant
4c6848a6607ad13a2930a82b,1281902758,Wifi: kulgeslo,4bedbd20a40fc928af6d820c,45.91269153880224,15.022988642780613,Mavsar.si,Home (private)
4cf4d3e21457a090676249c6,1291113442,Free wifi.,4cf4c98cb3662c0f4b8e7c30,46.0217209236708,14.536732725171639,Kavarna Rajska ptica,Café
4d1382230ad2f04dab05b454,1293124131,Free wifi!,4d05c86930a58cfa4258a7e7,45.330444977464225,14.4342144419501,Kaldi Bar,Bar
4d172b6d25cda14384f874d6,1293364077,no wifi here,4cf0ffe888de37049c6c6f2b,45.8276332575531,15.194404,Vila Otočec,Eastern European Restaurant
4cd82385da85224bb9fa4aca,1289233285,WiFi connection,4cb6f995e262b60ca8a072e0,46.056049494897294,14.501481056213379,MAGNOLIA Cafe Bar Lounge,Café
4cf82436466b6ea8f0d85f8b,1291330614,wifi gratis!,4cf823636cee236a672de503,45.87216,13.232096,Casa del Lauro B&B,Bed & Breakfast
4d2ec9b3d9d8a14381b1fcd7,1294911923,Free wifi!,4c6a4d2b1a6620a1c8c5658c,46.00867345165268,14.544615092043703,Cavallino caffe,
4f32a527e4b0bdfc06254ba2,1328719143,No wifi :-(,4c07e328c65295211dd1ae0a,46.077398551150964,14.519323110580444,Pizzerija Piramida,Pizza Place
4be94c2270c603bb6b0e9bb4,1273580578,Free WiFi,4b5f4a94f964a52047b229e3,46.050894,14.501961,Da Bu Da,Asian Restaurant
4cc2ae9b306e224b17d8916c,1287827099,Free WiFi,4b701ba9f964a5206d072de3,46.049431,14.505521,Kavarna Maček,Bar
4d2589b3b9796dcb7872a939,1294305715,Free wifi!,4d25891f3b62f04d3f792178,46.03906036666666,14.468894,Okrepčevalnica Ladjice potapljat,Bar
4d26d65d77a2a1cde50f53b7,1294390877,Free wifi! ;),4d26d37955a8b60c3820bec0,46.083434,14.738178,Vrtec Jurcek,Building
4d270de9467d6ea8df29b995,1294405097,Free wifi!,4d270ae7342d6dcb8f4de9ca,45.93826889991627,14.803669452666806,Rondo Bar,Bar
4d2ec3215055a35d737e95ca,1294910241,Free wifi!,4d2b04f1068e8cfa7aefde4c,46.120678,14.548414,WATT ELEKTRO,Miscellaneous Shop
4d2f34c673e5a0931d6558cf,1294939334,Wifi broken :),4d2f343e6fc6f04df5218845,45.95716056,14.652511,Flet Kavarnica,Bar
4c440692f97fbe9aa7a0ba30,1279526546,Free wifi,4bb1eb6ff964a520c2aa3ce3,45.50368130207062,13.603048324584961,Rok Bar,Bar
4c6e55f3a437224bcb8b2fb1,1282299379,Free wifi,4bc8b522c1c6eee130dafd92,46.052053,14.452845,Hotel Mons Ljubljana,Hotel
4c795df52d3ba143e9fc8dd0,1283022325,Free wifi.,4bb627c546d4a593fec5c5c0,45.81365346908569,15.1566702,Brblarna,Coffee Shop
4d0cec96257d6dcb55e19867,1292692630,Free WiFi,4bb9c2bd3db7b713937c229a,46.048847,14.508787,Grajska Kavarna,Café
4d1199d2f6f3721e638495e9,1292999122,Free wifi!,4bcfe4e79854d13a6df1f64d,46.092433,14.827113,Mane Bar,Bar
4d1b2fea6c412d431c18468b,1293627370,free wifi!,4baf3953f964a520faf13be3,45.36391181947681,14.32554682771903,Gelateria Beto,Dessert Shop
4d31a0342c76a143ab6f67c7,1295097908,Free WiFi,4bd1baeb462cb71370b2da07,46.259473,14.490104,Pod Jenkovo lipo,Pizza Place
4d6e71cc619a236ad836738f,1299083724,Free wifi,4b6324b5f964a5201d662ae3,46.04592292808827,14.507853984832764,Pri Zelenem Zajcu,Cocktail Bar
4b6d658670c603bbeea291b4,1265460614,Free WiFi,4b373736f964a520f63f25e3,46.04713672483366,14.502618312835693,Le Petit Café,Café
4c57c10c6201e21ecc174f6f,1280819468,Free wifi,4bdedbb8fe0e62b5df000606,46.61002596141209,14.078019180590367,Gasthof Erlenheim Velden am WÃ¶rthersee,Hotel
4d449e661b62b1f764dbf4e2,1296342630,Free WiFi,4b334d41f964a5208b1825e3,46.048525484099514,14.504501223564148,Bi-ko-fe,Bar
